county_name,well_count
Allegany,15972
Cattaraugus,11838
Chautauqua,6364
Erie,3502
Steuben,2067
Wyoming,1148
Genesee,880
Statewide,580
Cayuga,491
Seneca,456
Livingston,456
Schuyler,434
Ontario,347
Onondaga,294
Chemung,233
Nan,217
New York,213
Oswego,212
Chenango,201
Yates,161
Madison,144
Tioga,125
Tompkins,110
Oneida,72
Broome,68
Westchester,61
Delaware,39
Wayne,38
Monroe,32
Orleans,30
Cortland,30
Orange,21
Bronx,20
Otsego,19
Albany,19
Niagara,16
Herkimer,14
Jefferson,13
Queens,12
Lewis,11
Dutchess,10
Ulster,10
Montgomery,9
Rockland,7
Fulton,5
Saratoga,5
Nassau,4
Schoharie,4
Essex,3
Washington,3
Greene,3
Sullivan,3
Schenectady,2
Warren,2
Richmond,2
Clinton,1
St Lawrence,1
